SampleID	proportion_black	proportion_white	proportion_blue	proportion_red	proportion_yellow	proportion_other	data_source
1	0.125	0.243	0.153	0.031	0.181	0.266	AitchisonGreenacre2002
2	0.143	0.224	0.111	0.051	0.159	0.313	AitchisonGreenacre2002
3	0.147	0.231	0.058	0.129	0.133	0.303	AitchisonGreenacre2002
4	0.164	0.209	0.120	0.047	0.178	0.282	AitchisonGreenacre2002
5	0.197	0.151	0.132	0.033	0.188	0.299	AitchisonGreenacre2002
6	0.157	0.256	0.072	0.116	0.153	0.246	AitchisonGreenacre2002
7	0.153	0.232	0.101	0.062	0.170	0.282	AitchisonGreenacre2002
8	0.115	0.249	0.176	0.025	0.176	0.259	AitchisonGreenacre2002
9	0.178	0.167	0.048	0.143	0.118	0.347	AitchisonGreenacre2002
10	0.164	0.183	0.158	0.027	0.186	0.281	AitchisonGreenacre2002
11	0.175	0.211	0.070	0.104	0.157	0.283	AitchisonGreenacre2002
12	0.168	0.192	0.120	0.044	0.171	0.305	AitchisonGreenacre2002
13	0.155	0.251	0.091	0.085	0.161	0.257	AitchisonGreenacre2002
14	0.126	0.273	0.045	0.156	0.131	0.269	AitchisonGreenacre2002
15	0.199	0.170	0.080	0.076	0.158	0.318	AitchisonGreenacre2002
16	0.163	0.196	0.107	0.054	0.144	0.335	AitchisonGreenacre2002
17	0.136	0.185	0.162	0.020	0.193	0.304	AitchisonGreenacre2002
18	0.184	0.152	0.110	0.039	0.165	0.350	AitchisonGreenacre2002
19	0.169	0.207	0.111	0.057	0.156	0.300	AitchisonGreenacre2002
20	0.146	0.240	0.141	0.038	0.184	0.250	AitchisonGreenacre2002
21	0.200	0.172	0.059	0.120	0.136	0.313	AitchisonGreenacre2002
22	0.135	0.225	0.217	0.019	0.187	0.217	AitchisonGreenacre2002
